asset_price,exercise_time,delta
56.0000,0.4800,0.0052
56.0000,0.4880,0.0056
56.0000,0.4960,0.0060
56.0000,0.5040,0.0064
56.0000,0.5120,0.0068
56.0000,0.5200,0.0072
56.0000,0.5280,0.0077
56.0000,0.5360,0.0082
56.0000,0.5440,0.0086
56.0000,0.5520,0.0091
56.0000,0.5600,0.0096
56.0000,0.5680,0.0102
56.0000,0.5760,0.0107
56.0000,0.5840,0.0113
56.0000,0.6000,0.0124
58.0000,0.2000,0.0000
58.0000,0.2080,0.0001
58.0000,0.2160,0.0001
58.0000,0.2240,0.0001
58.0000,0.2320,0.0001
58.0000,0.2400,0.0002
58.0000,0.2480,0.0002
58.0000,0.2560,0.0003
58.0000,0.2640,0.0003
58.0000,0.2720,0.0004
58.0000,0.2800,0.0005
58.0000,0.2880,0.0006
58.0000,0.2960,0.0007
58.0000,0.3040,0.0008
58.0000,0.3120,0.0010
58.0000,0.3200,0.0011
58.0000,0.3280,0.0013
58.0000,0.3360,0.0015
58.0000,0.3440,0.0017
58.0000,0.3520,0.0019
58.0000,0.3600,0.0021
58.0000,0.3680,0.0024
58.0000,0.3760,0.0027
58.0000,0.3840,0.0029
58.0000,0.3920,0.0032
58.0000,0.4000,0.0036
58.0000,0.4080,0.0039
58.0000,0.4160,0.0043
58.0000,0.4240,0.0046
58.0000,0.4320,0.0050
58.0000,0.4400,0.0054
58.0000,0.4480,0.0059
58.0000,0.4560,0.0063
58.0000,0.4640,0.0068
58.0000,0.4720,0.0073
58.0000,0.4800,0.0078
58.0000,0.4880,0.0083
58.0000,0.4960,0.0088
58.0000,0.5040,0.0094
58.0000,0.5120,0.0100
58.0000,0.5200,0.0105
58.0000,0.5280,0.0111
58.0000,0.5360,0.0118
58.0000,0.5440,0.0124
58.0000,0.5520,0.0130
58.0000,0.5600,0.0137
58.0000,0.5680,0.0144
58.0000,0.5760,0.0151
58.0000,0.5840,0.0158
58.0000,0.6000,0.0172
60.0000,0.2000,0.0001
60.0000,0.2080,0.0001
60.0000,0.2160,0.0002
60.0000,0.2240,0.0002
60.0000,0.2320,0.0003
60.0000,0.2400,0.0004
60.0000,0.2480,0.0005
60.0000,0.2560,0.0006
60.0000,0.2640,0.0007
60.0000,0.2720,0.0008
60.0000,0.2800,0.0010
60.0000,0.2880,0.0011
60.0000,0.2960,0.0013
60.0000,0.3040,0.0015
60.0000,0.3120,0.0017
60.0000,0.3200,0.0020
60.0000,0.3280,0.0022
60.0000,0.3360,0.0025
60.0000,0.3440,0.0028
60.0000,0.3520,0.0032
60.0000,0.3600,0.0035
60.0000,0.3680,0.0039
60.0000,0.3760,0.0043
60.0000,0.3840,0.0047
60.0000,0.3920,0.0051
